learning_rate_whites,initial_epsilon_whites,epsilon_decay_whites,final_epsilon_whites,learning_rate_blacks,initial_epsilon_blacks,epsilon_decay_blacks,final_epsilon_blacks,average_time_whites,chess_pieces_whites,average_time_blacks,chess_pieces_blacks,result
0.2,0.9,0.85,0.05,0.05,0.5,0.95,0.2,0.00013815770383741034,1,0.00013815770383741034,8,Ganan negras
0.2,0.9,0.85,0.05,0.05,0.5,0.95,0.2,0.00012617403606198868,6,0.00012617403606198868,4,Ganan negras
0.2,0.9,0.85,0.05,0.05,0.5,0.95,0.2,0.0001228119875933673,7,0.0001228119875933673,3,Ganan blancas
0.2,0.9,0.85,0.05,0.05,0.5,0.95,0.2,0.00012489424811469184,11,0.00012489424811469184,5,Ganan blancas
0.2,0.9,0.85,0.05,0.05,0.5,0.95,0.2,0.00012317392014965568,4,0.00012317392014965568,5,Ganan negras
0.2,0.9,0.85,0.05,0.15,0.8,0.92,0.1,0.00012383931204582437,3,0.00012383931204582437,2,Ganan blancas
0.2,0.9,0.85,0.05,0.15,0.8,0.92,0.1,0.00012904172221188823,7,0.00012904172221188823,4,Ganan blancas
0.2,0.9,0.85,0.05,0.15,0.8,0.92,0.1,0.00013028049377206429,5,0.00013028049377206429,7,Ganan blancas
0.2,0.9,0.85,0.05,0.15,0.8,0.92,0.1,0.00013382036774874158,4,0.00013382036774874158,3,Ganan negras
0.2,0.9,0.85,0.05,0.15,0.8,0.92,0.1,0.00013770864290349623,9,0.00013770864290349623,3,Ganan blancas
0.2,0.9,0.85,0.05,0.07,0.7,0.97,0.15,0.00013951053516562736,4,0.00013951053516562736,3,Ganan blancas
0.2,0.9,0.85,0.05,0.07,0.7,0.97,0.15,0.00013875930599450913,5,0.00013875930599450913,6,Ganan negras
0.2,0.9,0.85,0.05,0.07,0.7,0.97,0.15,0.0001413797369201735,4,0.0001413797369201735,5,Ganan negras
0.2,0.9,0.85,0.05,0.07,0.7,0.97,0.15,0.00013791018538286773,3,0.00013791018538286773,6,Ganan negras
0.2,0.9,0.85,0.05,0.07,0.7,0.97,0.15,0.00013465301165562618,5,0.00013465301165562618,4,Ganan blancas
0.05,0.5,0.95,0.2,0.2,0.9,0.85,0.05,0.00013527229466795613,4,0.00013527229466795613,5,Ganan blancas
0.05,0.5,0.95,0.2,0.2,0.9,0.85,0.05,0.00013204476831048812,4,0.00013204476831048812,5,Ganan negras
0.05,0.5,0.95,0.2,0.2,0.9,0.85,0.05,0.0001339317752326083,0.0,0.0001339317752326083,4,Ganan negras
0.05,0.5,0.95,0.2,0.2,0.9,0.85,0.05,0.00013317853943203712,2,0.00013317853943203712,4,Ganan negras
0.05,0.5,0.95,0.2,0.2,0.9,0.85,0.05,0.0001345461103463795,4,0.0001345461103463795,8,Ganan negras
0.05,0.5,0.95,0.2,0.15,0.8,0.92,0.1,0.00013382665572627897,4,0.00013382665572627897,5,Ganan blancas
0.05,0.5,0.95,0.2,0.15,0.8,0.92,0.1,0.000132845290903723,8,0.000132845290903723,6,Ganan blancas
0.05,0.5,0.95,0.2,0.15,0.8,0.92,0.1,0.00013232721104645923,6,0.00013232721104645923,2,Ganan blancas
0.05,0.5,0.95,0.2,0.15,0.8,0.92,0.1,0.00013064632232236828,2,0.00013064632232236828,4,Ganan negras
0.05,0.5,0.95,0.2,0.15,0.8,0.92,0.1,0.00013120205134142985,7,0.00013120205134142985,3,Ganan negras
0.05,0.5,0.95,0.2,0.07,0.7,0.97,0.15,0.0001314568535734369,1,0.0001314568535734369,3,Ganan negras
0.05,0.5,0.95,0.2,0.07,0.7,0.97,0.15,0.0001341752970038946,9,0.0001341752970038946,5,Ganan blancas
0.05,0.5,0.95,0.2,0.07,0.7,0.97,0.15,0.00013619718097505115,15,0.00013619718097505115,3,Ganan blancas
0.05,0.5,0.95,0.2,0.07,0.7,0.97,0.15,0.00013596846116719602,1,0.00013596846116719602,7,Ganan negras
0.15,0.8,0.92,0.1,0.2,0.9,0.85,0.05,0.00013445327756738702,9,0.00013445327756738702,1,Ganan blancas
0.15,0.8,0.92,0.1,0.2,0.9,0.85,0.05,0.00013374703332639362,6,0.00013374703332639362,3,Ganan blancas
0.15,0.8,0.92,0.1,0.2,0.9,0.85,0.05,0.00013386611697040028,4,0.00013386611697040028,5,Ganan negras
0.15,0.8,0.92,0.1,0.2,0.9,0.85,0.05,0.0001337043081479267,7,0.0001337043081479267,5,Ganan blancas
0.15,0.8,0.92,0.1,0.2,0.9,0.85,0.05,0.00013497013700582651,2,0.00013497013700582651,7,Ganan negras
0.15,0.8,0.92,0.1,0.05,0.5,0.95,0.2,0.0001355795031404541,2,0.0001355795031404541,6,Ganan negras
0.15,0.8,0.92,0.1,0.05,0.5,0.95,0.2,0.00013504026115794893,4,0.00013504026115794893,2,Ganan blancas
0.15,0.8,0.92,0.1,0.05,0.5,0.95,0.2,0.00013573124744057304,2,0.00013573124744057304,5,Ganan negras
0.15,0.8,0.92,0.1,0.05,0.5,0.95,0.2,0.00013565037788365426,3,0.00013565037788365426,7,Ganan blancas
0.15,0.8,0.92,0.1,0.05,0.5,0.95,0.2,0.00013650635559269954,5,0.00013650635559269954,3,Ganan blancas
0.15,0.8,0.92,0.1,0.07,0.7,0.97,0.15,0.00013634035040631747,1,0.00013634035040631747,6,Ganan negras
0.15,0.8,0.92,0.1,0.07,0.7,0.97,0.15,0.0001358528437449105,5,0.0001358528437449105,4,Ganan negras
0.15,0.8,0.92,0.1,0.07,0.7,0.97,0.15,0.00013692819858378809,7,0.00013692819858378809,3,Ganan blancas
0.15,0.8,0.92,0.1,0.07,0.7,0.97,0.15,0.00013734437358082677,2,0.00013734437358082677,8,Ganan negras
0.15,0.8,0.92,0.1,0.07,0.7,0.97,0.15,0.00013767839565103179,1,0.00013767839565103179,8,Ganan negras
0.07,0.7,0.97,0.15,0.2,0.9,0.85,0.05,0.0001381967650039814,17,0.0001381967650039814,3,Ganan blancas
0.07,0.7,0.97,0.15,0.2,0.9,0.85,0.05,0.0001397450855956053,10,0.0001397450855956053,4,Ganan blancas
0.07,0.7,0.97,0.15,0.2,0.9,0.85,0.05,0.0001399607924199891,1,0.0001399607924199891,7,Ganan negras
0.07,0.7,0.97,0.15,0.2,0.9,0.85,0.05,0.0001393668675790294,2,0.0001393668675790294,8,Ganan blancas
0.07,0.7,0.97,0.15,0.2,0.9,0.85,0.05,0.0001395372045091408,1,0.0001395372045091408,0.0,Ganan negras
0.07,0.7,0.97,0.15,0.05,0.5,0.95,0.2,0.0001424327886493475,10,0.0001424327886493475,6,Ganan blancas
0.07,0.7,0.97,0.15,0.05,0.5,0.95,0.2,0.00014347034496265453,1,0.00014347034496265453,4,Ganan blancas
0.07,0.7,0.97,0.15,0.05,0.5,0.95,0.2,0.00014332158029528236,0.0,0.00014332158029528236,8,Ganan negras
0.07,0.7,0.97,0.15,0.05,0.5,0.95,0.2,0.00014369818711753608,4,0.00014369818711753608,6,Ganan blancas
0.07,0.7,0.97,0.15,0.05,0.5,0.95,0.2,0.00014442889006821425,5,0.00014442889006821425,6,Ganan blancas
0.07,0.7,0.97,0.15,0.15,0.8,0.92,0.1,0.00014513414481590533,6,0.00014513414481590533,8,Ganan blancas
0.07,0.7,0.97,0.15,0.15,0.8,0.92,0.1,0.0001448436324449102,1,0.0001448436324449102,6,Ganan negras
0.07,0.7,0.97,0.15,0.15,0.8,0.92,0.1,0.00014655386810099487,6,0.00014655386810099487,4,Ganan negras
0.07,0.7,0.97,0.15,0.15,0.8,0.92,0.1,0.00014681949977733005,4,0.00014681949977733005,8,Ganan negras
0.07,0.7,0.97,0.15,0.15,0.8,0.92,0.1,0.00014699022528344893,5,0.00014699022528344893,5,Ganan negras
